name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Elam Bharathi,Germany,Right hand Bat,,Slow Left arm Orthodox,,
Manmeet Koli,Romania,Right hand Bat,,Right arm Medium fast,,
Muralitharan Gnanasekaram,Switzerland,Right hand Bat,,Right arm Medium,,
Bilal Khan,Oman,Left hand Bat,Bowler,Left arm Medium fast,"After a brief first-class career with Peshawar in Pakistan's domestic cricket in the late 2000s, left-arm swing bowler Bilal Khan turned into the leader of Oman's bowling attack and one of the most successful pace bowlers on the Associate scene in the late 2010s. As of 2022, his ODI bowling average was bettered only by Joel Garner, Rashid Khan and Sandeep Lamichhane among bowlers with at least 50 ODI wickets.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321770.png"
Iftikhar Ahmed,Pakistan,Right hand Bat,Middle order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322153.png"
Javed Maroofkhail,Norway,Right hand Bat,,Right arm Medium,,
Mohammad Rizwan ,Pakistan,Right hand Bat,Wicketkeeper Batter,Right arm Medium,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320458.png"
Muslim Yar,Germany,Right hand Bat,,Slow Left arm Orthodox,,
Marcus Stoinis,Australia,Right hand Bat,Batting Allrounder,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png"
Miggy Podosky,Philippines,Right hand Bat,,Right arm Medium,,
Saim Ayub,Pakistan,Left hand Bat,Top order Batter,"Right arm Medium fast, Right arm Offbreak",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/326400/326498.png"
Sediqullah Atal,Afghanistan,Left hand Bat,Opening Batter,,,
Kuldeep Yadav,India,Left hand Bat,Bowler,Left arm Wrist spin,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319943.png"
Rahmanullah Gurbaz ,Afghanistan,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320504.png"
Tur Sumya,Mongolia,Left hand Bat,,Right arm Offbreak,,
Roston Chase,West Indies,Right hand Bat,Allrounder,Right arm Offbreak,"A tall offspin-bowling allrounder from Barbados, Roston Chase won a place in West Indies' Test team after strong showings with bat and ball in the 2015-16 Professional Cricket League. He scored 710 runs in ten matches at an average of 59.16, bowled more than he ever had in the past, and took 23 wickets at an average of 17.26 (including twin five-fors in a match against Guyana).","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322039.png"
Rizwan Butt,Bahrain,Right hand Bat,Bowler,Right arm Medium,,
Brandon King,West Indies,Right hand Bat,Top order Batter,,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321983.png"
SanjayKumar Thakor,Tanzania,Right hand Bat,,Legbreak,,
Tony Ura,Papua New Guinea,Right hand Bat,Opening Batter,,"Tony Ura is a right-hand batsman and wicketkeeper who began playing cricket at the age of 12. He had guidance from his father, Pala, and brother, Vali, who were both prominent cricketers and broke into the Papua New Guinea's Under-15 and U-19 sides. Tony helped PNG qualify for the U-19 World Cup in 2008 by scoring a rapid 74 against Vanuatu in the qualifiers, and smashed 76 in 55 balls against Bermuda to hand his team a famous win in the competition. He prepared for the Under-19 World Cup in New Zealand in 2010 by playing club cricket in Melbourne.Cricinfo staff January 2010","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321161.png"
Karim Janat,Afghanistan,Right hand Bat,Bowling Allrounder,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320600/320654.png"
Satvik Nadigotla ,Romania,Right hand Bat,,Right arm Offbreak,,
Frank Nsubuga,Uganda,Right hand Bat,,Slow Left arm Orthodox,"An offspinning allrounder whose swashbuckling knocks in the lower middle order complement his miserly bowling, Frank Nsubuga made his international debut playing for East and Central Africa in the 1997 ICC Trophy, aged just 16. He soon established his place in the national side, making his first-class debut against Namibia in the Intercontinental Cup in 2004 and earning himself a Man of the Match award as Uganda won by five wickets. Nsubuga steered his team to victory in the World Cricket League final against Argentina three years later, starring with both bat and ball, and has since settled into his role as a senior player for Uganda across all formats.
Liam Brickhill May 2011 ",
Conroy Wright,Cayman Islands,Right hand Bat,,Right arm Medium,,
Michael Badenhorst,Botswana,,,,,
Leano Maphane,Botswana,Right hand Bat,,Right arm Offbreak,,
Sheraz Sheikh(c),Belgium,Right hand Bat,Bowler,Slow Left arm Orthodox,,
Abhishek Ahuja ,Hungary,Right hand Bat,,Right arm Offbreak,,
Kushal Bhurtel,Nepal,Right hand Bat,Opening Batter,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330443.png"
Josh Inglis,Australia,Right hand Bat,Wicketkeeper Batter,,"Wicketkeeper-batter Josh Inglis, who was born in Leeds before relocating to Australia as a 14-year-old, moved quickly into the national reckoning over the last two years after finding his feet for both Western Australia and Perth Scorchers. A versatile and hard-hitting batter, he enjoyed a breakthrough Sheffield Shield season in 2020-21 with 585 runs including his first three first-class hundreds having previously churned out runs at grade level without quite making the step up. That followed consecutive 400-plus run seasons for Scorchers in the BBL - where his adaptability at moving from the top order to the middle was noted by selectors - and having continued to flay runs in county cricket for Leicestershire he was named in Australia's 2021 T20 World Cup despite not being part of any of the previous series.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324232.png"
Niaz Ali,Hong Kong,Left hand Bat,Middle order Batter,Left arm Medium fast,"Following in the footsteps of his brother, Shakeel, who played for Hong Kong's senior team, Niaz Ali picked up 13 wickets during the 2010 Under-19 World Cup Qualifiers. His average of 17.15 and economy rate of 3.32 went a long way in cementing his place in the squad for the main tournament in New Zealand.
",
Nandre Burger,South Africa,Left hand Bat,Bowler,Left arm Fast medium,,
Tafseer Ali,Norway,Right hand Bat,Allrounder,Right arm Fast,,
Rinku Singh,India,Left hand Bat,Middle order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/341000/341043.png"
Mirza Ahsan,Austria,Right hand Bat,,Right arm Offbreak,,
Abishek Kheterpal,Hungary,Right hand Bat,,Right arm Medium,,
Sundeep Jora,Nepal,Right hand Bat,Middle order Batter,,,
Faisal Mubashir,Germany,Right hand Bat,,Right arm Offbreak,,
Sai Kishore,India,Left hand Bat,Bowler,Slow Left arm Orthodox,,
Tim David,Australia,Right hand Bat,Middle order Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/340300/340305.png"
Suryakumar Yadav,India,Right hand Bat,Batter,"Right arm Medium, Right arm Offbreak",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png"
Stephen Doheny ,Ireland,Right hand Bat,Opening Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348600/348601.png"
Craig Young,Ireland,Right hand Bat,Bowler,Right arm Fast medium,"One of a number of players to emerge out of Ireland's robust Under-19 squads from the early 2010s, Craig Young became the ninth bowler to take a five-for on men's ODI debut when he demolished Scotland in Malahide in September 2014. It was a well-timed performance for Young, considering he had just lost his county contract with Sussex and parlayed that into a Cricket Ireland central contract. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/367800/367859.png"
Tony Munyonga,Zimbabwe,Right hand Bat,Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348594.png"
Peter Langat,Kenya,Right hand Bat,Bowler,Right arm Medium,,
Shimron Hetmyer,West Indies,Left hand Bat,Top order Batter,,"Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320116.png"
Troy Taylor,Cayman Islands,Right hand Bat,Bowler,Right arm Medium fast,,
Mohammad Nawaz,Pakistan,Left hand Bat,Allrounder,Slow Left arm Orthodox,"Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322217.png"
Ali Naseer,United Arab Emirates,Left hand Bat,Allrounder,Right arm Medium,,
Eric Niyomugabo,Rwanda,Right hand Bat,,Right arm Offbreak,,
Isaac Danladi,Nigeria,Left hand Bat,,Slow Left arm Orthodox,,
Tayyab Tahir,Pakistan,Right hand Bat,Middle order Batter,Legbreak Googly,,
Hardik Pandya(c),India,Right hand Bat,Allrounder,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319938.png"
Ehsan Khan,Hong Kong,Right hand Bat,Bowler,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321904.png"
Craig Ervine(c),Zimbabwe,Left hand Bat,Middle order Batter,Right arm Offbreak,"Few people in Zimbabwe cricket circles were surprised when Craig Ervine found his way into Zimbabwe colours. A stylish left-handed middle-order batsman, Ervine hails from a family with a strong cricketing tradition - his father and uncle both played first-class cricket, albeit briefly, in the late 1970s, his older brother Sean had a promising fledgling international career with Zimbabwe before heading to England to become a reliable cog in Hampshire's middle order, and even younger brother Ryan has turned out for the Southern Rocks franchise on occasion.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316567.png"
Jitesh Sharma ,India,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380600/380690.png"
Yalinde Nkanya,Tanzania,Right hand Bat,,Slow Left arm Orthodox,,
Ravindu Fernando,Sri Lanka,Right hand Bat,Batting Allrounder,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/372100/372166.png"
Mohammad Haris ,Pakistan,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,,
Washington Sundar,India,Left hand Bat,Bowling Allrounder,Right arm Offbreak,"Like R Ashwin from Tamil Nadu before him, Washington Sundar went from being a batsman as a youngster to making his name as an offspinner. After representing India at the 2016 Under-19 World Cup, he replaced Ashwin at Rising Pune Supergiant in the 2017 IPL, and bowled at an impressive economy rate to help his side to the final.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322619.png"
Enkhtuvshin Munkhbat,Mongolia,Right hand Bat,,,,
Eric Dusingizimana,Rwanda,Right hand Bat,Opening Batter,,,
Rahul Tripathi,India,Right hand Bat,Top order Batter,Right arm Medium,"A technically correct middle-order batter, Rahul Tripathi came to the game in the footsteps of his father, an army man who in his time turned out for Uttar Pradesh in junior cricket and also played at university level. ",
Aasif Sheikh ,Nepal,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330462.png"
Rashid Khan(c),Afghanistan,Right hand Bat,Bowling Allrounder,Legbreak Googly,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png"
Semo Kamea,Papua New Guinea,Left hand Bat,Bowler,Left arm Fast,,
Alei Nao,Papua New Guinea,Right hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321135.png"
Ibrahim Sesay,Sierra Leone,Right hand Bat,,Right arm Medium,,
Tanish Suri ,United Arab Emirates,Right hand Bat,Wicketkeeper Batter,,,
Mohammad Shahzad ,Afghanistan,Right hand Bat,Wicketkeeper Batter,,"One of the most entertaining batsmen in the Associate cricket world, and one who never shies away from theatrically celebrating even the most mundane milestones, Mohammad Shahzad is a throwback player to a time when a bulging waistline would be excused by most coaches and selectors as long as it coincided with a bulging runs column on the scoresheet. Shahzad has proven his worth time and again with a series of thrilling batting displays, often producing his own version of the helicopter shot, and his fearlessness at the crease makes him one of the few Associate batsmen capable of standing toe-to-toe against Full Member opposition.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320500.png"
Keshav Maharaj,South Africa,Right hand Bat,Bowler,Slow Left arm Orthodox,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322072.png"
Kenneth Waiswa,Uganda,Right hand Bat,Allrounder,Right arm Medium,,
Gareth Berg(c),Italy,Right hand Bat,Bowling Allrounder,Right arm Medium,"A bustling, brisk seam bowler and middle-order batsman, Gareth Berg learned his cricket in South Africa, playing a handful of one-day games for Western Province B, before moving to live in England and pro on the club scene. ",
